sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and double the size of original dataset lambda = 41.0,random_forest,0.6549 ± 0.0051,0.7357 ± 0.0304,0.6926 ± 0.0141,0.6360 ± 0.0079,0.6360 ± 0.0079,0.1917 ± 0.0310,0.7398 ± 0.0416,0.2131 ± 0.0277
HC with fairness constraints and double the size of original dataset lambda = 41.0,xgboost,0.6627 ± 0.0013,0.7357 ± 0.0105,0.6973 ± 0.0044,0.6440 ± 0.0018,0.6440 ± 0.0018,0.2286 ± 0.0104,0.6966 ± 0.0127,0.2495 ± 0.0219
HC with fairness constraints and double the size of original dataset lambda = 41.0,mlp,0.6516 ± 0.0115,0.7098 ± 0.0443,0.6784 ± 0.0151,0.6272 ± 0.0056,0.6272 ± 0.0056,0.1334 ± 0.0504,0.8051 ± 0.0697,0.1585 ± 0.0623
HC with fairness constraints and equal number of class 1 and class 0 lambda = 41.0,logistic_regression,0.6689 ± 0.0039,0.7003 ± 0.0236,0.6840 ± 0.0103,0.6429 ± 0.0042,0.6429 ± 0.0042,0.1828 ± 0.0099,0.7345 ± 0.0174,0.2356 ± 0.0139
HC with fairness constraints and equal number of class 1 and class 0 lambda = 41.0,random_forest,0.6342 ± 0.0085,0.6693 ± 0.0162,0.6512 ± 0.0090,0.6037 ± 0.0089,0.6037 ± 0.0089,0.1849 ± 0.0041,0.7339 ± 0.0099,0.2037 ± 0.0239
HC with fairness constraints and equal number of class 1 and class 0 lambda = 41.0,xgboost,0.6493 ± 0.0079,0.6917 ± 0.0223,0.6697 ± 0.0126,0.6225 ± 0.0097,0.6225 ± 0.0097,0.2034 ± 0.0160,0.7147 ± 0.0203,0.2375 ± 0.0269
HC with fairness constraints and equal number of class 1 and class 0 lambda = 41.0,mlp,0.6359 ± 0.0208,0.6348 ± 0.0571,0.6331 ± 0.0223,0.5980 ± 0.0145,0.5980 ± 0.0145,0.1842 ± 0.0483,0.7209 ± 0.0739,0.2215 ± 0.0302
HC with fairness constraints and equal number of protected attribute lambda = 41.0,logistic_regression,0.6689 ± 0.0039,0.7003 ± 0.0236,0.6840 ± 0.0103,0.6429 ± 0.0042,0.6429 ± 0.0042,0.1828 ± 0.0099,0.7345 ± 0.0174,0.2356 ± 0.0139
HC with fairness constraints and equal number of protected attribute lambda = 41.0,random_forest,0.6342 ± 0.0085,0.6693 ± 0.0162,0.6512 ± 0.0090,0.6037 ± 0.0089,0.6037 ± 0.0089,0.1849 ± 0.0041,0.7339 ± 0.0099,0.2037 ± 0.0239
HC with fairness constraints and equal number of protected attribute lambda = 41.0,xgboost,0.6493 ± 0.0079,0.6917 ± 0.0223,0.6697 ± 0.0126,0.6225 ± 0.0097,0.6225 ± 0.0097,0.2034 ± 0.0160,0.7147 ± 0.0203,0.2375 ± 0.0269
HC with fairness constraints and equal number of protected attribute lambda = 41.0,mlp,0.6239 ± 0.0130,0.6789 ± 0.0530,0.6491 ± 0.0229,0.5942 ± 0.0133,0.5942 ± 0.0133,0.1499 ± 0.0434,0.7830 ± 0.0616,0.1903 ± 0.0495
HC with fairness constraints and same size as original dataset lambda = 42.0,logistic_regression,0.6777 ± 0.0041,0.7283 ± 0.0097,0.7020 ± 0.0028,0.6570 ± 0.0023,0.6570 ± 0.0023,0.2532 ± 0.0097,0.6624 ± 0.0143,0.3516 ± 0.0078
HC with fairness constraints and same size as original dataset lambda = 42.0,random_forest,0.6463 ± 0.0041,0.6964 ± 0.0271,0.6702 ± 0.0142,0.6205 ± 0.0081,0.6205 ± 0.0081,0.1360 ± 0.0390,0.7992 ± 0.0542,0.1755 ± 0.0589
HC with fairness constraints and same size as original dataset lambda = 42.0,xgboost,0.6682 ± 0.0072,0.7098 ± 0.0192,0.6882 ± 0.0087,0.6441 ± 0.0067,0.6441 ± 0.0067,0.1785 ± 0.0294,0.7442 ± 0.0335,0.2237 ± 0.0473
HC with fairness constraints and same size as original dataset lambda = 42.0,mlp,0.6350 ± 0.0131,0.6732 ± 0.0480,0.6524 ± 0.0207,0.6046 ± 0.0121,0.6046 ± 0.0121,0.1409 ± 0.0278,0.7893 ± 0.0387,0.1667 ± 0.0435
HC with fairness constraints and double the size of original dataset lambda = 42.0,logistic_regression,0.6606 ± 0.0014,0.7298 ± 0.0113,0.6934 ± 0.0047,0.6407 ± 0.0018,0.6407 ± 0.0018,0.1845 ± 0.0187,0.7445 ± 0.0247,0.2706 ± 0.0119
HC with fairness constraints and double the size of original dataset lambda = 42.0,random_forest,0.6482 ± 0.0060,0.6801 ± 0.0255,0.6635 ± 0.0105,0.6192 ± 0.0049,0.6192 ± 0.0049,0.1716 ± 0.0300,0.7487 ± 0.0450,0.2429 ± 0.0324
HC with fairness constraints and double the size of original dataset lambda = 42.0,xgboost,0.6536 ± 0.0042,0.7048 ± 0.0093,0.6782 ± 0.0043,0.6291 ± 0.0041,0.6291 ± 0.0041,0.2110 ± 0.0266,0.7094 ± 0.0311,0.2969 ± 0.0303
HC with fairness constraints and double the size of original dataset lambda = 42.0,mlp,0.6355 ± 0.0156,0.6839 ± 0.0584,0.6570 ± 0.0194,0.6058 ± 0.0110,0.6058 ± 0.0110,0.1634 ± 0.0540,0.7623 ± 0.0805,0.2417 ± 0.0337
HC with fairness constraints and equal number of class 1 and class 0 lambda = 42.0,logistic_regression,0.6690 ± 0.0065,0.7098 ± 0.0224,0.6886 ± 0.0088,0.6448 ± 0.0044,0.6448 ± 0.0044,0.1759 ± 0.0359,0.7462 ± 0.0513,0.2631 ± 0.0328
HC with fairness constraints and equal number of class 1 and class 0 lambda = 42.0,random_forest,0.6605 ± 0.0073,0.7110 ± 0.0183,0.6846 ± 0.0068,0.6368 ± 0.0056,0.6368 ± 0.0056,0.1137 ± 0.0454,0.8308 ± 0.0597,0.1352 ± 0.0542
HC with fairness constraints and equal number of class 1 and class 0 lambda = 42.0,xgboost,0.6599 ± 0.0077,0.7375 ± 0.0201,0.6965 ± 0.0112,0.6415 ± 0.0099,0.6415 ± 0.0099,0.1189 ± 0.0494,0.8300 ± 0.0644,0.1550 ± 0.0509
HC with fairness constraints and equal number of class 1 and class 0 lambda = 42.0,mlp,0.6463 ± 0.0153,0.6914 ± 0.0493,0.6666 ± 0.0164,0.6181 ± 0.0105,0.6181 ± 0.0105,0.1141 ± 0.0536,0.8259 ± 0.0813,0.1132 ± 0.0616
HC with fairness constraints and equal number of protected attribute lambda = 42.0,logistic_regression,0.6690 ± 0.0065,0.7098 ± 0.0224,0.6886 ± 0.0088,0.6448 ± 0.0044,0.6448 ± 0.0044,0.1759 ± 0.0359,0.7462 ± 0.0513,0.2631 ± 0.0328
HC with fairness constraints and equal number of protected attribute lambda = 42.0,random_forest,0.6605 ± 0.0073,0.7110 ± 0.0183,0.6846 ± 0.0068,0.6368 ± 0.0056,0.6368 ± 0.0056,0.1137 ± 0.0454,0.8308 ± 0.0597,0.1352 ± 0.0542
HC with fairness constraints and equal number of protected attribute lambda = 42.0,xgboost,0.6599 ± 0.0077,0.7375 ± 0.0201,0.6965 ± 0.0112,0.6415 ± 0.0099,0.6415 ± 0.0099,0.1189 ± 0.0494,0.8300 ± 0.0644,0.1550 ± 0.0509
HC with fairness constraints and equal number of protected attribute lambda = 42.0,mlp,0.6401 ± 0.0085,0.6952 ± 0.0621,0.6649 ± 0.0258,0.6133 ± 0.0071,0.6133 ± 0.0071,0.1400 ± 0.1088,0.8019 ± 0.1442,0.1449 ± 0.1069
HC with fairness constraints and same size as original dataset lambda = 43.0,logistic_regression,0.6613 ± 0.0031,0.7411 ± 0.0244,0.6987 ± 0.0093,0.6435 ± 0.0029,0.6435 ± 0.0029,0.1254 ± 0.0160,0.8187 ± 0.0226,0.2013 ± 0.0213
HC with fairness constraints and same size as original dataset lambda = 43.0,random_forest,0.6152 ± 0.0064,0.6973 ± 0.0193,0.6535 ± 0.0084,0.5878 ± 0.0069,0.5878 ± 0.0069,0.0940 ± 0.0205,0.8616 ± 0.0289,0.1253 ± 0.0351
HC with fairness constraints and same size as original dataset lambda = 43.0,xgboost,0.6260 ± 0.0079,0.7491 ± 0.0260,0.6819 ± 0.0141,0.6071 ± 0.0115,0.6071 ± 0.0115,0.1208 ± 0.0395,0.8358 ± 0.0498,0.1710 ± 0.0541
HC with fairness constraints and same size as original dataset lambda = 43.0,mlp,0.6080 ± 0.0150,0.7176 ± 0.0508,0.6568 ± 0.0114,0.5805 ± 0.0139,0.5805 ± 0.0139,0.0913 ± 0.0425,0.8708 ± 0.0595,0.1349 ± 0.0653
HC with fairness constraints and double the size of original dataset lambda = 43.0,logistic_regression,0.6606 ± 0.0038,0.7304 ± 0.0032,0.6937 ± 0.0024,0.6408 ± 0.0038,0.6408 ± 0.0038,0.1331 ± 0.0056,0.8068 ± 0.0079,0.2242 ± 0.0065
HC with fairness constraints and double the size of original dataset lambda = 43.0,random_forest,0.6316 ± 0.0061,0.7220 ± 0.0175,0.6737 ± 0.0100,0.6092 ± 0.0084,0.6092 ± 0.0084,0.0932 ± 0.0378,0.8652 ± 0.0502,0.1511 ± 0.0477
HC with fairness constraints and double the size of original dataset lambda = 43.0,xgboost,0.6429 ± 0.0074,0.7420 ± 0.0175,0.6888 ± 0.0089,0.6245 ± 0.0087,0.6245 ± 0.0087,0.1575 ± 0.0215,0.7849 ± 0.0256,0.2088 ± 0.0184
HC with fairness constraints and double the size of original dataset lambda = 43.0,mlp,0.6322 ± 0.0071,0.6869 ± 0.0262,0.6582 ± 0.0133,0.6045 ± 0.0088,0.6045 ± 0.0088,0.1283 ± 0.0641,0.8184 ± 0.0900,0.1845 ± 0.0578
HC with fairness constraints and equal number of class 1 and class 0 lambda = 43.0,logistic_regression,0.6670 ± 0.0031,0.7042 ± 0.0068,0.6851 ± 0.0044,0.6419 ± 0.0039,0.6419 ± 0.0039,0.1107 ± 0.0161,0.8294 ± 0.0206,0.1952 ± 0.0147
HC with fairness constraints and equal number of class 1 and class 0 lambda = 43.0,random_forest,0.6257 ± 0.0056,0.7063 ± 0.0087,0.6635 ± 0.0045,0.6005 ± 0.0060,0.6005 ± 0.0060,0.0680 ± 0.0257,0.8975 ± 0.0373,0.1248 ± 0.0416
HC with fairness constraints and equal number of class 1 and class 0 lambda = 43.0,xgboost,0.6362 ± 0.0054,0.7321 ± 0.0135,0.6807 ± 0.0059,0.6157 ± 0.0057,0.6157 ± 0.0057,0.0910 ± 0.0251,0.8681 ± 0.0332,0.1518 ± 0.0239
HC with fairness constraints and equal number of class 1 and class 0 lambda = 43.0,mlp,0.6214 ± 0.0130,0.7128 ± 0.0470,0.6627 ± 0.0138,0.5955 ± 0.0076,0.5955 ± 0.0076,0.0680 ± 0.0331,0.8999 ± 0.0436,0.1276 ± 0.0244
HC with fairness constraints and equal number of protected attribute lambda = 43.0,logistic_regression,0.6670 ± 0.0031,0.7042 ± 0.0068,0.6851 ± 0.0044,0.6419 ± 0.0039,0.6419 ± 0.0039,0.1107 ± 0.0161,0.8294 ± 0.0206,0.1952 ± 0.0147
HC with fairness constraints and equal number of protected attribute lambda = 43.0,random_forest,0.6257 ± 0.0056,0.7063 ± 0.0087,0.6635 ± 0.0045,0.6005 ± 0.0060,0.6005 ± 0.0060,0.0680 ± 0.0257,0.8975 ± 0.0373,0.1248 ± 0.0416
HC with fairness constraints and equal number of protected attribute lambda = 43.0,xgboost,0.6362 ± 0.0054,0.7321 ± 0.0135,0.6807 ± 0.0059,0.6157 ± 0.0057,0.6157 ± 0.0057,0.0910 ± 0.0251,0.8681 ± 0.0332,0.1518 ± 0.0239
HC with fairness constraints and equal number of protected attribute lambda = 43.0,mlp,0.6214 ± 0.0049,0.6452 ± 0.0623,0.6315 ± 0.0300,0.5874 ± 0.0080,0.5874 ± 0.0080,0.1163 ± 0.0212,0.8186 ± 0.0271,0.1542 ± 0.0322
HC with fairness constraints and same size as original dataset lambda = 44.0,logistic_regression,0.6592 ± 0.0076,0.7628 ± 0.0321,0.7068 ± 0.0108,0.6453 ± 0.0046,0.6453 ± 0.0046,0.0882 ± 0.0324,0.8732 ± 0.0452,0.1449 ± 0.0387
HC with fairness constraints and same size as original dataset lambda = 44.0,random_forest,0.6208 ± 0.0037,0.7137 ± 0.0131,0.6639 ± 0.0042,0.5962 ± 0.0029,0.5962 ± 0.0029,0.0270 ± 0.0203,0.9586 ± 0.0300,0.0644 ± 0.0194
HC with fairness constraints and same size as original dataset lambda = 44.0,xgboost,0.6296 ± 0.0090,0.7327 ± 0.0074,0.6772 ± 0.0067,0.6085 ± 0.0103,0.6085 ± 0.0103,0.0434 ± 0.0113,0.9343 ± 0.0169,0.0907 ± 0.0246
HC with fairness constraints and same size as original dataset lambda = 44.0,mlp,0.6159 ± 0.0111,0.7235 ± 0.0405,0.6645 ± 0.0104,0.5911 ± 0.0087,0.5911 ± 0.0087,0.0222 ± 0.0137,0.9665 ± 0.0206,0.0767 ± 0.0134
HC with fairness constraints and double the size of original dataset lambda = 44.0,logistic_regression,0.6497 ± 0.0038,0.7964 ± 0.0117,0.7156 ± 0.0029,0.6415 ± 0.0024,0.6415 ± 0.0024,0.0790 ± 0.0176,0.8907 ± 0.0217,0.1454 ± 0.0213
HC with fairness constraints and double the size of original dataset lambda = 44.0,random_forest,0.6255 ± 0.0037,0.7116 ± 0.0157,0.6657 ± 0.0057,0.6010 ± 0.0031,0.6010 ± 0.0031,0.0480 ± 0.0245,0.9262 ± 0.0376,0.1096 ± 0.0187
HC with fairness constraints and double the size of original dataset lambda = 44.0,xgboost,0.6369 ± 0.0041,0.7646 ± 0.0201,0.6948 ± 0.0068,0.6216 ± 0.0034,0.6216 ± 0.0034,0.0916 ± 0.0103,0.8716 ± 0.0146,0.1597 ± 0.0133
HC with fairness constraints and double the size of original dataset lambda = 44.0,mlp,0.6196 ± 0.0033,0.7202 ± 0.0285,0.6659 ± 0.0114,0.5957 ± 0.0040,0.5957 ± 0.0040,0.0538 ± 0.0351,0.9206 ± 0.0510,0.1248 ± 0.0597
HC with fairness constraints and equal number of class 1 and class 0 lambda = 44.0,logistic_regression,0.6721 ± 0.0007,0.6607 ± 0.0047,0.6664 ± 0.0026,0.6377 ± 0.0014,0.6377 ± 0.0014,0.1028 ± 0.0041,0.8293 ± 0.0070,0.1635 ± 0.0064
HC with fairness constraints and equal number of class 1 and class 0 lambda = 44.0,random_forest,0.6452 ± 0.0076,0.6560 ± 0.0122,0.6505 ± 0.0095,0.6123 ± 0.0090,0.6123 ± 0.0090,0.0704 ± 0.0235,0.8835 ± 0.0363,0.1234 ± 0.0225
HC with fairness constraints and equal number of class 1 and class 0 lambda = 44.0,xgboost,0.6537 ± 0.0085,0.6839 ± 0.0080,0.6684 ± 0.0041,0.6252 ± 0.0074,0.6252 ± 0.0074,0.0605 ± 0.0358,0.9024 ± 0.0563,0.0972 ± 0.0412
HC with fairness constraints and equal number of class 1 and class 0 lambda = 44.0,mlp,0.6358 ± 0.0194,0.6277 ± 0.0803,0.6285 ± 0.0369,0.5973 ± 0.0179,0.5973 ± 0.0179,0.0569 ± 0.0387,0.8997 ± 0.0742,0.0893 ± 0.0451
HC with fairness constraints and equal number of protected attribute lambda = 44.0,logistic_regression,0.6721 ± 0.0007,0.6607 ± 0.0047,0.6664 ± 0.0026,0.6377 ± 0.0014,0.6377 ± 0.0014,0.1028 ± 0.0041,0.8293 ± 0.0070,0.1635 ± 0.0064
HC with fairness constraints and equal number of protected attribute lambda = 44.0,random_forest,0.6452 ± 0.0076,0.6560 ± 0.0122,0.6505 ± 0.0095,0.6123 ± 0.0090,0.6123 ± 0.0090,0.0704 ± 0.0235,0.8835 ± 0.0363,0.1234 ± 0.0225
HC with fairness constraints and equal number of protected attribute lambda = 44.0,xgboost,0.6537 ± 0.0085,0.6839 ± 0.0080,0.6684 ± 0.0041,0.6252 ± 0.0074,0.6252 ± 0.0074,0.0605 ± 0.0358,0.9024 ± 0.0563,0.0972 ± 0.0412
HC with fairness constraints and equal number of protected attribute lambda = 44.0,mlp,0.6326 ± 0.0025,0.7015 ± 0.0365,0.6648 ± 0.0162,0.6071 ± 0.0059,0.6071 ± 0.0059,0.0833 ± 0.0399,0.8748 ± 0.0588,0.1303 ± 0.0434
HC with fairness constraints and same size as original dataset lambda = 45.0,logistic_regression,0.6636 ± 0.0028,0.7134 ± 0.0050,0.6876 ± 0.0027,0.6405 ± 0.0028,0.6405 ± 0.0028,0.1081 ± 0.0102,0.8354 ± 0.0136,0.1542 ± 0.0205
HC with fairness constraints and same size as original dataset lambda = 45.0,random_forest,0.6365 ± 0.0028,0.6774 ± 0.0136,0.6562 ± 0.0068,0.6074 ± 0.0039,0.6074 ± 0.0039,0.0977 ± 0.0140,0.8481 ± 0.0215,0.0906 ± 0.0205
HC with fairness constraints and same size as original dataset lambda = 45.0,xgboost,0.6334 ± 0.0045,0.6905 ± 0.0151,0.6606 ± 0.0064,0.6063 ± 0.0044,0.6063 ± 0.0044,0.0582 ± 0.0119,0.9077 ± 0.0189,0.0858 ± 0.0153
HC with fairness constraints and same size as original dataset lambda = 45.0,mlp,0.6252 ± 0.0139,0.6717 ± 0.0483,0.6463 ± 0.0189,0.5940 ± 0.0099,0.5940 ± 0.0099,0.0676 ± 0.0402,0.8910 ± 0.0672,0.0778 ± 0.0381
HC with fairness constraints and double the size of original dataset lambda = 45.0,logistic_regression,0.6649 ± 0.0035,0.7286 ± 0.0033,0.6953 ± 0.0014,0.6447 ± 0.0030,0.6447 ± 0.0030,0.1171 ± 0.0109,0.8263 ± 0.0134,0.1734 ± 0.0158
HC with fairness constraints and double the size of original dataset lambda = 45.0,random_forest,0.6530 ± 0.0107,0.6640 ± 0.0085,0.6584 ± 0.0083,0.6210 ± 0.0109,0.6210 ± 0.0109,0.0673 ± 0.0194,0.8879 ± 0.0296,0.1163 ± 0.0329
HC with fairness constraints and double the size of original dataset lambda = 45.0,xgboost,0.6610 ± 0.0058,0.6866 ± 0.0128,0.6734 ± 0.0043,0.6326 ± 0.0038,0.6326 ± 0.0038,0.1653 ± 0.0160,0.7547 ± 0.0217,0.2260 ± 0.0159
HC with fairness constraints and double the size of original dataset lambda = 45.0,mlp,0.6463 ± 0.0134,0.6318 ± 0.0225,0.6386 ± 0.0111,0.6088 ± 0.0113,0.6088 ± 0.0113,0.0740 ± 0.0103,0.8727 ± 0.0164,0.1393 ± 0.0148
HC with fairness constraints and equal number of class 1 and class 0 lambda = 45.0,logistic_regression,0.6732 ± 0.0053,0.6789 ± 0.0149,0.6759 ± 0.0055,0.6423 ± 0.0030,0.6423 ± 0.0030,0.1414 ± 0.0606,0.7842 ± 0.0835,0.1949 ± 0.0675
HC with fairness constraints and equal number of class 1 and class 0 lambda = 45.0,random_forest,0.6140 ± 0.0075,0.6092 ± 0.0138,0.6115 ± 0.0087,0.5756 ± 0.0080,0.5756 ± 0.0080,0.1051 ± 0.0455,0.8304 ± 0.0655,0.1839 ± 0.0539
HC with fairness constraints and equal number of class 1 and class 0 lambda = 45.0,xgboost,0.6439 ± 0.0023,0.6289 ± 0.0166,0.6361 ± 0.0078,0.6064 ± 0.0022,0.6064 ± 0.0022,0.0895 ± 0.0430,0.8520 ± 0.0678,0.1611 ± 0.0291
HC with fairness constraints and equal number of class 1 and class 0 lambda = 45.0,mlp,0.6091 ± 0.0106,0.5881 ± 0.0685,0.5959 ± 0.0316,0.5674 ± 0.0059,0.5674 ± 0.0059,0.0960 ± 0.0865,0.8361 ± 0.1438,0.1712 ± 0.0688
HC with fairness constraints and equal number of protected attribute lambda = 45.0,logistic_regression,0.6732 ± 0.0053,0.6789 ± 0.0149,0.6759 ± 0.0055,0.6423 ± 0.0030,0.6423 ± 0.0030,0.1414 ± 0.0606,0.7842 ± 0.0835,0.1949 ± 0.0675
HC with fairness constraints and equal number of protected attribute lambda = 45.0,random_forest,0.6140 ± 0.0075,0.6092 ± 0.0138,0.6115 ± 0.0087,0.5756 ± 0.0080,0.5756 ± 0.0080,0.1051 ± 0.0455,0.8304 ± 0.0655,0.1839 ± 0.0539
HC with fairness constraints and equal number of protected attribute lambda = 45.0,xgboost,0.6439 ± 0.0023,0.6289 ± 0.0166,0.6361 ± 0.0078,0.6064 ± 0.0022,0.6064 ± 0.0022,0.0895 ± 0.0430,0.8520 ± 0.0678,0.1611 ± 0.0291
HC with fairness constraints and equal number of protected attribute lambda = 45.0,mlp,0.6173 ± 0.0086,0.6080 ± 0.0413,0.6116 ± 0.0177,0.5780 ± 0.0040,0.5780 ± 0.0040,0.1028 ± 0.0574,0.8368 ± 0.0753,0.1691 ± 0.0578
HC with fairness constraints and same size as original dataset lambda = 46.0,logistic_regression,0.6634 ± 0.0016,0.7530 ± 0.0101,0.7053 ± 0.0041,0.6480 ± 0.0019,0.6480 ± 0.0019,0.1320 ± 0.0175,0.8129 ± 0.0208,0.1718 ± 0.0216
HC with fairness constraints and same size as original dataset lambda = 46.0,random_forest,0.6545 ± 0.0083,0.7137 ± 0.0197,0.6827 ± 0.0119,0.6316 ± 0.0104,0.6316 ± 0.0104,0.1094 ± 0.0215,0.8361 ± 0.0277,0.1436 ± 0.0427
HC with fairness constraints and same size as original dataset lambda = 46.0,xgboost,0.6595 ± 0.0023,0.7449 ± 0.0148,0.6996 ± 0.0071,0.6426 ± 0.0043,0.6426 ± 0.0043,0.1353 ± 0.0226,0.8084 ± 0.0253,0.1745 ± 0.0341
HC with fairness constraints and same size as original dataset lambda = 46.0,mlp,0.6430 ± 0.0121,0.7110 ± 0.0647,0.6733 ± 0.0248,0.6183 ± 0.0074,0.6183 ± 0.0074,0.0785 ± 0.0164,0.8803 ± 0.0222,0.1028 ± 0.0352
HC with fairness constraints and double the size of original dataset lambda = 46.0,logistic_regression,0.6673 ± 0.0047,0.7357 ± 0.0106,0.6998 ± 0.0029,0.6485 ± 0.0031,0.6485 ± 0.0031,0.1085 ± 0.0177,0.8385 ± 0.0251,0.1467 ± 0.0148
HC with fairness constraints and double the size of original dataset lambda = 46.0,random_forest,0.6417 ± 0.0032,0.7369 ± 0.0276,0.6857 ± 0.0115,0.6224 ± 0.0052,0.6224 ± 0.0052,0.1351 ± 0.0294,0.8105 ± 0.0410,0.1606 ± 0.0354
HC with fairness constraints and double the size of original dataset lambda = 46.0,xgboost,0.6536 ± 0.0058,0.7393 ± 0.0126,0.6937 ± 0.0051,0.6353 ± 0.0054,0.6353 ± 0.0054,0.1231 ± 0.0267,0.8234 ± 0.0375,0.1686 ± 0.0204
HC with fairness constraints and double the size of original dataset lambda = 46.0,mlp,0.6341 ± 0.0050,0.7488 ± 0.0359,0.6862 ± 0.0135,0.6159 ± 0.0048,0.6159 ± 0.0048,0.1128 ± 0.0391,0.8428 ± 0.0535,0.1217 ± 0.0490
HC with fairness constraints and equal number of class 1 and class 0 lambda = 46.0,logistic_regression,0.6962 ± 0.0021,0.6881 ± 0.0061,0.6921 ± 0.0038,0.6645 ± 0.0028,0.6645 ± 0.0028,0.1283 ± 0.0138,0.7940 ± 0.0186,0.1671 ± 0.0167
HC with fairness constraints and equal number of class 1 and class 0 lambda = 46.0,random_forest,0.6700 ± 0.0020,0.6804 ± 0.0099,0.6751 ± 0.0054,0.6398 ± 0.0032,0.6398 ± 0.0032,0.0971 ± 0.0140,0.8426 ± 0.0214,0.1060 ± 0.0222
HC with fairness constraints and equal number of class 1 and class 0 lambda = 46.0,xgboost,0.6756 ± 0.0053,0.7051 ± 0.0142,0.6899 ± 0.0052,0.6500 ± 0.0035,0.6500 ± 0.0035,0.1006 ± 0.0291,0.8420 ± 0.0443,0.1203 ± 0.0382
HC with fairness constraints and equal number of class 1 and class 0 lambda = 46.0,mlp,0.6591 ± 0.0096,0.6923 ± 0.0257,0.6749 ± 0.0102,0.6317 ± 0.0075,0.6317 ± 0.0075,0.0675 ± 0.0254,0.8920 ± 0.0363,0.0659 ± 0.0172
HC with fairness constraints and equal number of protected attribute lambda = 46.0,logistic_regression,0.6962 ± 0.0021,0.6881 ± 0.0061,0.6921 ± 0.0038,0.6645 ± 0.0028,0.6645 ± 0.0028,0.1283 ± 0.0138,0.7940 ± 0.0186,0.1671 ± 0.0167
HC with fairness constraints and equal number of protected attribute lambda = 46.0,random_forest,0.6700 ± 0.0020,0.6804 ± 0.0099,0.6751 ± 0.0054,0.6398 ± 0.0032,0.6398 ± 0.0032,0.0971 ± 0.0140,0.8426 ± 0.0214,0.1060 ± 0.0222
HC with fairness constraints and equal number of protected attribute lambda = 46.0,xgboost,0.6756 ± 0.0053,0.7051 ± 0.0142,0.6899 ± 0.0052,0.6500 ± 0.0035,0.6500 ± 0.0035,0.1006 ± 0.0291,0.8420 ± 0.0443,0.1203 ± 0.0382
HC with fairness constraints and equal number of protected attribute lambda = 46.0,mlp,0.6622 ± 0.0163,0.6726 ± 0.0598,0.6653 ± 0.0205,0.6295 ± 0.0071,0.6295 ± 0.0071,0.1111 ± 0.0632,0.8264 ± 0.1002,0.1178 ± 0.0447
HC with fairness constraints and same size as original dataset lambda = 47.0,logistic_regression,0.6538 ± 0.0066,0.7729 ± 0.0140,0.7083 ± 0.0061,0.6416 ± 0.0069,0.6416 ± 0.0069,0.1096 ± 0.0169,0.8467 ± 0.0237,0.1506 ± 0.0118
HC with fairness constraints and same size as original dataset lambda = 47.0,random_forest,0.6182 ± 0.0058,0.7354 ± 0.0161,0.6717 ± 0.0086,0.5962 ± 0.0077,0.5962 ± 0.0077,0.0373 ± 0.0312,0.9459 ± 0.0444,0.0899 ± 0.0416
HC with fairness constraints and same size as original dataset lambda = 47.0,xgboost,0.6317 ± 0.0020,0.7518 ± 0.0115,0.6865 ± 0.0043,0.6138 ± 0.0018,0.6138 ± 0.0018,0.0875 ± 0.0237,0.8767 ± 0.0317,0.1625 ± 0.0297
HC with fairness constraints and same size as original dataset lambda = 47.0,mlp,0.6102 ± 0.0135,0.6967 ± 0.0389,0.6498 ± 0.0142,0.5815 ± 0.0137,0.5815 ± 0.0137,0.0669 ± 0.0511,0.8991 ± 0.0765,0.1291 ± 0.0670
HC with fairness constraints and double the size of original dataset lambda = 47.0,logistic_regression,0.6484 ± 0.0040,0.7929 ± 0.0041,0.7134 ± 0.0029,0.6393 ± 0.0045,0.6393 ± 0.0045,0.1201 ± 0.0242,0.8392 ± 0.0297,0.1716 ± 0.0308
HC with fairness constraints and double the size of original dataset lambda = 47.0,random_forest,0.6250 ± 0.0051,0.6884 ± 0.0153,0.6551 ± 0.0083,0.5972 ± 0.0064,0.5972 ± 0.0064,0.1844 ± 0.0068,0.7438 ± 0.0082,0.2124 ± 0.0099
HC with fairness constraints and double the size of original dataset lambda = 47.0,xgboost,0.6373 ± 0.0034,0.7470 ± 0.0145,0.6877 ± 0.0056,0.6192 ± 0.0035,0.6192 ± 0.0035,0.1095 ± 0.0237,0.8459 ± 0.0323,0.1610 ± 0.0190
HC with fairness constraints and double the size of original dataset lambda = 47.0,mlp,0.6085 ± 0.0097,0.7458 ± 0.0344,0.6697 ± 0.0116,0.5856 ± 0.0100,0.5856 ± 0.0100,0.1192 ± 0.0373,0.8406 ± 0.0484,0.1617 ± 0.0344
HC with fairness constraints and equal number of class 1 and class 0 lambda = 47.0,logistic_regression,0.6732 ± 0.0036,0.6967 ± 0.0240,0.6845 ± 0.0111,0.6460 ± 0.0048,0.6460 ± 0.0048,0.0478 ± 0.0223,0.9193 ± 0.0384,0.0851 ± 0.0157
HC with fairness constraints and equal number of class 1 and class 0 lambda = 47.0,random_forest,0.6315 ± 0.0050,0.6643 ± 0.0224,0.6473 ± 0.0105,0.6003 ± 0.0055,0.6003 ± 0.0055,0.0687 ± 0.0296,0.8896 ± 0.0462,0.0618 ± 0.0300
