sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and equal number of protected attribute lambda = 1.8,random_forest,0.6377 ± 0.0169,0.9614 ± 0.0014,0.7667 ± 0.0120,0.9550 ± 0.0017,0.9550 ± 0.0017,0.0626 ± 0.0120,0.6587 ± 0.0509,0.1162 ± 0.0127
HC with fairness constraints and equal number of protected attribute lambda = 1.8,xgboost,0.6711 ± 0.0109,0.9602 ± 0.0000,0.7900 ± 0.0076,0.9580 ± 0.0011,0.9580 ± 0.0011,0.0391 ± 0.0047,0.7496 ± 0.0267,0.0917 ± 0.0051
HC with fairness constraints and equal number of protected attribute lambda = 1.8,mlp,0.6467 ± 0.0268,0.9614 ± 0.0014,0.7729 ± 0.0192,0.9559 ± 0.0030,0.9559 ± 0.0030,0.0612 ± 0.0154,0.6631 ± 0.0606,0.1148 ± 0.0160
HC with fairness constraints and same size as original dataset lambda = 1.9,logistic_regression,0.8890 ± 0.0031,0.9602 ± 0.0000,0.9232 ± 0.0017,0.9745 ± 0.0002,0.9745 ± 0.0002,0.0389 ± 0.0015,0.6055 ± 0.0152,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 1.9,random_forest,0.8898 ± 0.0052,0.9540 ± 0.0038,0.9208 ± 0.0020,0.9714 ± 0.0017,0.9714 ± 0.0017,0.0418 ± 0.0016,0.5747 ± 0.0181,0.0326 ± 0.0177
HC with fairness constraints and same size as original dataset lambda = 1.9,xgboost,0.8929 ± 0.0032,0.9523 ± 0.0055,0.9216 ± 0.0024,0.9708 ± 0.0027,0.9708 ± 0.0027,0.0424 ± 0.0013,0.5675 ± 0.0142,0.0255 ± 0.0170
HC with fairness constraints and same size as original dataset lambda = 1.9,mlp,0.8783 ± 0.0107,0.9540 ± 0.0038,0.9145 ± 0.0044,0.9708 ± 0.0013,0.9708 ± 0.0013,0.0358 ± 0.0053,0.6368 ± 0.0556,0.0333 ± 0.0168
HC with fairness constraints and double the size of original dataset lambda = 1.9,logistic_regression,0.8881 ± 0.0011,0.9602 ± 0.0000,0.9227 ± 0.0006,0.9744 ± 0.0001,0.9744 ± 0.0001,0.0375 ± 0.0008,0.6191 ± 0.0079,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 1.9,random_forest,0.8922 ± 0.0035,0.9500 ± 0.0034,0.9202 ± 0.0031,0.9696 ± 0.0018,0.9696 ± 0.0018,0.0444 ± 0.0031,0.5473 ± 0.0293,0.0359 ± 0.0088
HC with fairness constraints and double the size of original dataset lambda = 1.9,xgboost,0.8996 ± 0.0033,0.9517 ± 0.0036,0.9249 ± 0.0026,0.9709 ± 0.0018,0.9709 ± 0.0018,0.0475 ± 0.0017,0.5156 ± 0.0175,0.0439 ± 0.0176
HC with fairness constraints and double the size of original dataset lambda = 1.9,mlp,0.8862 ± 0.0063,0.9506 ± 0.0023,0.9172 ± 0.0032,0.9696 ± 0.0011,0.9696 ± 0.0011,0.0419 ± 0.0057,0.5746 ± 0.0563,0.0415 ± 0.0180
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.9,logistic_regression,0.6670 ± 0.0073,0.9602 ± 0.0000,0.7872 ± 0.0051,0.9576 ± 0.0007,0.9576 ± 0.0007,0.1133 ± 0.0073,0.4839 ± 0.0157,0.1697 ± 0.0076
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.9,random_forest,0.6469 ± 0.0117,0.9591 ± 0.0023,0.7726 ± 0.0087,0.9550 ± 0.0020,0.9550 ± 0.0020,0.0928 ± 0.0131,0.5508 ± 0.0338,0.1478 ± 0.0136
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.9,xgboost,0.6718 ± 0.0082,0.9602 ± 0.0000,0.7905 ± 0.0057,0.9581 ± 0.0008,0.9581 ± 0.0008,0.0751 ± 0.0095,0.5980 ± 0.0310,0.1296 ± 0.0099
HC with fairness constraints and equal number of class 1 and class 0 lambda = 1.9,mlp,0.6464 ± 0.0151,0.9591 ± 0.0023,0.7722 ± 0.0111,0.9549 ± 0.0022,0.9549 ± 0.0022,0.0897 ± 0.0180,0.5632 ± 0.0530,0.1445 ± 0.0187
HC with fairness constraints and equal number of protected attribute lambda = 1.9,logistic_regression,0.6670 ± 0.0073,0.9602 ± 0.0000,0.7872 ± 0.0051,0.9576 ± 0.0007,0.9576 ± 0.0007,0.1133 ± 0.0073,0.4839 ± 0.0157,0.1697 ± 0.0076
HC with fairness constraints and equal number of protected attribute lambda = 1.9,random_forest,0.6469 ± 0.0117,0.9591 ± 0.0023,0.7726 ± 0.0087,0.9550 ± 0.0020,0.9550 ± 0.0020,0.0928 ± 0.0131,0.5508 ± 0.0338,0.1478 ± 0.0136
HC with fairness constraints and equal number of protected attribute lambda = 1.9,xgboost,0.6718 ± 0.0082,0.9602 ± 0.0000,0.7905 ± 0.0057,0.9581 ± 0.0008,0.9581 ± 0.0008,0.0751 ± 0.0095,0.5980 ± 0.0310,0.1296 ± 0.0099
HC with fairness constraints and equal number of protected attribute lambda = 1.9,mlp,0.6497 ± 0.0213,0.9591 ± 0.0023,0.7744 ± 0.0148,0.9552 ± 0.0021,0.9552 ± 0.0021,0.0926 ± 0.0177,0.5527 ± 0.0468,0.1476 ± 0.0184
HC with fairness constraints and same size as original dataset lambda = 10.0,logistic_regression,0.8989 ± 0.0000,0.9602 ± 0.0000,0.9286 ± 0.0000,0.9751 ± 0.0000,0.9751 ± 0.0000,0.0448 ± 0.0000,0.5453 ± 0.0000,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 10.0,random_forest,0.8934 ± 0.0028,0.9574 ± 0.0000,0.9243 ± 0.0015,0.9733 ± 0.0002,0.9733 ± 0.0002,0.0455 ± 0.0016,0.5399 ± 0.0140,0.0138 ± 0.0161
HC with fairness constraints and same size as original dataset lambda = 10.0,xgboost,0.8987 ± 0.0014,0.9580 ± 0.0011,0.9274 ± 0.0005,0.9739 ± 0.0005,0.9739 ± 0.0005,0.0464 ± 0.0018,0.5290 ± 0.0178,0.0123 ± 0.0153
HC with fairness constraints and same size as original dataset lambda = 10.0,mlp,0.8923 ± 0.0032,0.9511 ± 0.0077,0.9208 ± 0.0042,0.9702 ± 0.0038,0.9702 ± 0.0038,0.0442 ± 0.0024,0.5501 ± 0.0239,0.0197 ± 0.0144
HC with fairness constraints and double the size of original dataset lambda = 10.0,logistic_regression,0.9023 ± 0.0019,0.9602 ± 0.0000,0.9304 ± 0.0010,0.9752 ± 0.0001,0.9752 ± 0.0001,0.0470 ± 0.0013,0.5228 ± 0.0128,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 10.0,random_forest,0.8987 ± 0.0020,0.9574 ± 0.0018,0.9271 ± 0.0008,0.9736 ± 0.0008,0.9736 ± 0.0008,0.0452 ± 0.0016,0.5398 ± 0.0165,0.0215 ± 0.0187
HC with fairness constraints and double the size of original dataset lambda = 10.0,xgboost,0.9060 ± 0.0033,0.9585 ± 0.0014,0.9315 ± 0.0012,0.9746 ± 0.0005,0.9746 ± 0.0005,0.0482 ± 0.0036,0.5086 ± 0.0354,0.0274 ± 0.0201
HC with fairness constraints and double the size of original dataset lambda = 10.0,mlp,0.8937 ± 0.0086,0.9597 ± 0.0011,0.9255 ± 0.0044,0.9745 ± 0.0006,0.9745 ± 0.0006,0.0413 ± 0.0045,0.5808 ± 0.0459,0.0434 ± 0.0012
HC with fairness constraints and equal number of class 1 and class 0 lambda = 10.0,logistic_regression,0.7726 ± 0.0119,0.9602 ± 0.0000,0.8562 ± 0.0073,0.9668 ± 0.0009,0.9668 ± 0.0009,0.0365 ± 0.0105,0.7392 ± 0.0590,0.0900 ± 0.0109
HC with fairness constraints and equal number of class 1 and class 0 lambda = 10.0,random_forest,0.6624 ± 0.0162,0.9602 ± 0.0000,0.7838 ± 0.0114,0.9571 ± 0.0017,0.9571 ± 0.0017,0.0864 ± 0.0163,0.5662 ± 0.0452,0.1414 ± 0.0169
HC with fairness constraints and equal number of class 1 and class 0 lambda = 10.0,xgboost,0.7407 ± 0.0242,0.9602 ± 0.0000,0.8361 ± 0.0154,0.9643 ± 0.0020,0.9643 ± 0.0020,0.0287 ± 0.0114,0.7941 ± 0.0607,0.0816 ± 0.0118
HC with fairness constraints and equal number of class 1 and class 0 lambda = 10.0,mlp,0.6868 ± 0.0247,0.9602 ± 0.0000,0.8005 ± 0.0169,0.9595 ± 0.0024,0.9595 ± 0.0024,0.0721 ± 0.0162,0.6064 ± 0.0503,0.1266 ± 0.0168
HC with fairness constraints and equal number of protected attribute lambda = 10.0,logistic_regression,0.7726 ± 0.0119,0.9602 ± 0.0000,0.8562 ± 0.0073,0.9668 ± 0.0009,0.9668 ± 0.0009,0.0365 ± 0.0105,0.7392 ± 0.0590,0.0900 ± 0.0109
HC with fairness constraints and equal number of protected attribute lambda = 10.0,random_forest,0.6624 ± 0.0162,0.9602 ± 0.0000,0.7838 ± 0.0114,0.9571 ± 0.0017,0.9571 ± 0.0017,0.0864 ± 0.0163,0.5662 ± 0.0452,0.1414 ± 0.0169
HC with fairness constraints and equal number of protected attribute lambda = 10.0,xgboost,0.7407 ± 0.0242,0.9602 ± 0.0000,0.8361 ± 0.0154,0.9643 ± 0.0020,0.9643 ± 0.0020,0.0287 ± 0.0114,0.7941 ± 0.0607,0.0816 ± 0.0118
HC with fairness constraints and equal number of protected attribute lambda = 10.0,mlp,0.6677 ± 0.0270,0.9602 ± 0.0000,0.7874 ± 0.0184,0.9576 ± 0.0026,0.9576 ± 0.0026,0.0863 ± 0.0225,0.5698 ± 0.0765,0.1414 ± 0.0234
HC with fairness constraints and same size as original dataset lambda = 2.0,logistic_regression,0.9033 ± 0.0010,0.9602 ± 0.0000,0.9309 ± 0.0005,0.9753 ± 0.0001,0.9753 ± 0.0001,0.0476 ± 0.0006,0.5164 ± 0.0064,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 2.0,random_forest,0.8836 ± 0.0035,0.9574 ± 0.0044,0.9190 ± 0.0031,0.9728 ± 0.0022,0.9728 ± 0.0022,0.0426 ± 0.0032,0.5717 ± 0.0319,0.0583 ± 0.0295
HC with fairness constraints and same size as original dataset lambda = 2.0,xgboost,0.8928 ± 0.0032,0.9602 ± 0.0000,0.9253 ± 0.0017,0.9747 ± 0.0002,0.9747 ± 0.0002,0.0422 ± 0.0018,0.5728 ± 0.0184,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 2.0,mlp,0.8793 ± 0.0051,0.9602 ± 0.0000,0.9180 ± 0.0028,0.9739 ± 0.0003,0.9739 ± 0.0003,0.0386 ± 0.0042,0.6123 ± 0.0415,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 2.0,logistic_regression,0.8999 ± 0.0012,0.9602 ± 0.0000,0.9291 ± 0.0006,0.9751 ± 0.0001,0.9751 ± 0.0001,0.0454 ± 0.0008,0.5389 ± 0.0079,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 2.0,random_forest,0.8931 ± 0.0031,0.9591 ± 0.0014,0.9249 ± 0.0015,0.9742 ± 0.0006,0.9742 ± 0.0006,0.0420 ± 0.0025,0.5738 ± 0.0256,0.0289 ± 0.0171
HC with fairness constraints and double the size of original dataset lambda = 2.0,xgboost,0.8960 ± 0.0018,0.9597 ± 0.0011,0.9267 ± 0.0011,0.9746 ± 0.0006,0.9746 ± 0.0006,0.0432 ± 0.0014,0.5613 ± 0.0143,0.0357 ± 0.0142
HC with fairness constraints and double the size of original dataset lambda = 2.0,mlp,0.8904 ± 0.0065,0.9597 ± 0.0011,0.9237 ± 0.0033,0.9743 ± 0.0005,0.9743 ± 0.0005,0.0402 ± 0.0053,0.5928 ± 0.0533,0.0357 ± 0.0142
HC with fairness constraints and equal number of class 1 and class 0 lambda = 2.0,logistic_regression,0.7991 ± 0.0000,0.9602 ± 0.0000,0.8723 ± 0.0000,0.9688 ± 0.0000,0.9688 ± 0.0000,0.0108 ± 0.0000,0.9039 ± 0.0000,0.0633 ± 0.0000
HC with fairness constraints and equal number of class 1 and class 0 lambda = 2.0,random_forest,0.7332 ± 0.0168,0.9602 ± 0.0000,0.8314 ± 0.0107,0.9637 ± 0.0014,0.9637 ± 0.0014,0.0341 ± 0.0079,0.7608 ± 0.0419,0.0872 ± 0.0081
HC with fairness constraints and equal number of class 1 and class 0 lambda = 2.0,xgboost,0.7778 ± 0.0046,0.9602 ± 0.0000,0.8594 ± 0.0028,0.9672 ± 0.0003,0.9672 ± 0.0003,0.0220 ± 0.0040,0.8239 ± 0.0279,0.0749 ± 0.0042
HC with fairness constraints and equal number of class 1 and class 0 lambda = 2.0,mlp,0.7481 ± 0.0265,0.9602 ± 0.0000,0.8407 ± 0.0168,0.9649 ± 0.0022,0.9649 ± 0.0022,0.0285 ± 0.0073,0.7909 ± 0.0400,0.0814 ± 0.0075
HC with fairness constraints and equal number of protected attribute lambda = 2.0,logistic_regression,0.7991 ± 0.0000,0.9602 ± 0.0000,0.8723 ± 0.0000,0.9688 ± 0.0000,0.9688 ± 0.0000,0.0108 ± 0.0000,0.9039 ± 0.0000,0.0633 ± 0.0000
HC with fairness constraints and equal number of protected attribute lambda = 2.0,random_forest,0.7332 ± 0.0168,0.9602 ± 0.0000,0.8314 ± 0.0107,0.9637 ± 0.0014,0.9637 ± 0.0014,0.0341 ± 0.0079,0.7608 ± 0.0419,0.0872 ± 0.0081
HC with fairness constraints and equal number of protected attribute lambda = 2.0,xgboost,0.7778 ± 0.0046,0.9602 ± 0.0000,0.8594 ± 0.0028,0.9672 ± 0.0003,0.9672 ± 0.0003,0.0220 ± 0.0040,0.8239 ± 0.0279,0.0749 ± 0.0042
HC with fairness constraints and equal number of protected attribute lambda = 2.0,mlp,0.7390 ± 0.0509,0.9602 ± 0.0000,0.8342 ± 0.0339,0.9639 ± 0.0047,0.9639 ± 0.0047,0.0405 ± 0.0244,0.7418 ± 0.0982,0.0940 ± 0.0251
HC with fairness constraints and same size as original dataset lambda = 20.0,logistic_regression,0.9023 ± 0.0012,0.9602 ± 0.0000,0.9304 ± 0.0006,0.9752 ± 0.0001,0.9752 ± 0.0001,0.0470 ± 0.0008,0.5228 ± 0.0079,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 20.0,random_forest,0.8902 ± 0.0054,0.9074 ± 0.0109,0.8987 ± 0.0076,0.9484 ± 0.0056,0.9484 ± 0.0056,0.0395 ± 0.0039,0.5784 ± 0.0368,0.0739 ± 0.0410
HC with fairness constraints and same size as original dataset lambda = 20.0,xgboost,0.9022 ± 0.0041,0.9074 ± 0.0082,0.9048 ± 0.0059,0.9491 ± 0.0042,0.9491 ± 0.0042,0.0456 ± 0.0026,0.5117 ± 0.0250,0.0911 ± 0.0188
HC with fairness constraints and same size as original dataset lambda = 20.0,mlp,0.8788 ± 0.0076,0.9102 ± 0.0085,0.8942 ± 0.0073,0.9492 ± 0.0045,0.9492 ± 0.0045,0.0374 ± 0.0044,0.6048 ± 0.0445,0.0708 ± 0.0340
HC with fairness constraints and double the size of original dataset lambda = 20.0,logistic_regression,0.9033 ± 0.0010,0.9602 ± 0.0000,0.9309 ± 0.0005,0.9753 ± 0.0001,0.9753 ± 0.0001,0.0476 ± 0.0006,0.5164 ± 0.0064,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 20.0,random_forest,0.8946 ± 0.0040,0.9256 ± 0.0144,0.9098 ± 0.0078,0.9577 ± 0.0072,0.9577 ± 0.0072,0.0448 ± 0.0020,0.5318 ± 0.0240,0.0457 ± 0.0193
HC with fairness constraints and double the size of original dataset lambda = 20.0,xgboost,0.8915 ± 0.0027,0.9244 ± 0.0136,0.9076 ± 0.0077,0.9569 ± 0.0068,0.9569 ± 0.0068,0.0424 ± 0.0025,0.5563 ± 0.0211,0.0469 ± 0.0219
HC with fairness constraints and double the size of original dataset lambda = 20.0,mlp,0.8904 ± 0.0080,0.9227 ± 0.0104,0.9062 ± 0.0074,0.9560 ± 0.0053,0.9560 ± 0.0053,0.0408 ± 0.0038,0.5711 ± 0.0396,0.0487 ± 0.0159
HC with fairness constraints and equal number of class 1 and class 0 lambda = 20.0,logistic_regression,0.7361 ± 0.0074,0.9631 ± 0.0000,0.8344 ± 0.0048,0.9653 ± 0.0006,0.9653 ± 0.0006,0.0194 ± 0.0025,0.8497 ± 0.0165,0.0720 ± 0.0026
HC with fairness constraints and equal number of class 1 and class 0 lambda = 20.0,random_forest,0.5907 ± 0.0136,0.9818 ± 0.0034,0.7375 ± 0.0100,0.9590 ± 0.0013,0.9590 ± 0.0013,0.0361 ± 0.0091,0.7940 ± 0.0401,0.0898 ± 0.0097
HC with fairness constraints and equal number of class 1 and class 0 lambda = 20.0,xgboost,0.6322 ± 0.0262,0.9835 ± 0.0042,0.7693 ± 0.0187,0.9648 ± 0.0023,0.9648 ± 0.0023,0.0095 ± 0.0062,0.9329 ± 0.0432,0.0605 ± 0.0092
HC with fairness constraints and equal number of class 1 and class 0 lambda = 20.0,mlp,0.6005 ± 0.0169,0.9835 ± 0.0042,0.7455 ± 0.0124,0.9610 ± 0.0022,0.9610 ± 0.0022,0.0273 ± 0.0090,0.8352 ± 0.0481,0.0809 ± 0.0092
HC with fairness constraints and equal number of protected attribute lambda = 20.0,logistic_regression,0.7361 ± 0.0074,0.9631 ± 0.0000,0.8344 ± 0.0048,0.9653 ± 0.0006,0.9653 ± 0.0006,0.0194 ± 0.0025,0.8497 ± 0.0165,0.0720 ± 0.0026
HC with fairness constraints and equal number of protected attribute lambda = 20.0,random_forest,0.5907 ± 0.0136,0.9818 ± 0.0034,0.7375 ± 0.0100,0.9590 ± 0.0013,0.9590 ± 0.0013,0.0361 ± 0.0091,0.7940 ± 0.0401,0.0898 ± 0.0097
HC with fairness constraints and equal number of protected attribute lambda = 20.0,xgboost,0.6322 ± 0.0262,0.9835 ± 0.0042,0.7693 ± 0.0187,0.9648 ± 0.0023,0.9648 ± 0.0023,0.0095 ± 0.0062,0.9329 ± 0.0432,0.0605 ± 0.0092
HC with fairness constraints and equal number of protected attribute lambda = 20.0,mlp,0.5948 ± 0.0170,0.9830 ± 0.0031,0.7410 ± 0.0129,0.9600 ± 0.0021,0.9600 ± 0.0021,0.0385 ± 0.0255,0.7933 ± 0.1127,0.0925 ± 0.0266
HC with fairness constraints and same size as original dataset lambda = 3.0,logistic_regression,0.9033 ± 0.0010,0.9602 ± 0.0000,0.9309 ± 0.0005,0.9753 ± 0.0001,0.9753 ± 0.0001,0.0476 ± 0.0006,0.5164 ± 0.0064,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 3.0,random_forest,0.8812 ± 0.0025,0.9443 ± 0.0101,0.9117 ± 0.0044,0.9662 ± 0.0049,0.9662 ± 0.0049,0.0425 ± 0.0013,0.5680 ± 0.0152,0.0692 ± 0.0109
HC with fairness constraints and same size as original dataset lambda = 3.0,xgboost,0.8929 ± 0.0041,0.9523 ± 0.0011,0.9216 ± 0.0023,0.9708 ± 0.0006,0.9708 ± 0.0006,0.0454 ± 0.0030,0.5392 ± 0.0300,0.0635 ± 0.0273
HC with fairness constraints and same size as original dataset lambda = 3.0,mlp,0.8761 ± 0.0075,0.9477 ± 0.0110,0.9105 ± 0.0053,0.9676 ± 0.0053,0.9676 ± 0.0053,0.0380 ± 0.0061,0.6149 ± 0.0625,0.0614 ± 0.0207
HC with fairness constraints and double the size of original dataset lambda = 3.0,logistic_regression,0.8989 ± 0.0000,0.9602 ± 0.0000,0.9286 ± 0.0000,0.9751 ± 0.0000,0.9751 ± 0.0000,0.0448 ± 0.0000,0.5453 ± 0.0000,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 3.0,random_forest,0.8766 ± 0.0047,0.9523 ± 0.0028,0.9129 ± 0.0035,0.9698 ± 0.0016,0.9698 ± 0.0016,0.0403 ± 0.0020,0.5947 ± 0.0188,0.0556 ± 0.0259
HC with fairness constraints and double the size of original dataset lambda = 3.0,xgboost,0.8974 ± 0.0031,0.9585 ± 0.0023,0.9269 ± 0.0015,0.9741 ± 0.0011,0.9741 ± 0.0011,0.0448 ± 0.0021,0.5453 ± 0.0220,0.0276 ± 0.0186
HC with fairness constraints and double the size of original dataset lambda = 3.0,mlp,0.8743 ± 0.0036,0.9523 ± 0.0028,0.9116 ± 0.0029,0.9697 ± 0.0015,0.9697 ± 0.0015,0.0372 ± 0.0020,0.6247 ± 0.0197,0.0562 ± 0.0250
HC with fairness constraints and equal number of class 1 and class 0 lambda = 3.0,logistic_regression,0.7429 ± 0.0078,0.9602 ± 0.0000,0.8377 ± 0.0050,0.9645 ± 0.0006,0.9645 ± 0.0006,0.0311 ± 0.0029,0.7737 ± 0.0165,0.0841 ± 0.0030
HC with fairness constraints and equal number of class 1 and class 0 lambda = 3.0,random_forest,0.6642 ± 0.0085,0.9602 ± 0.0000,0.7852 ± 0.0059,0.9573 ± 0.0009,0.9573 ± 0.0009,0.0600 ± 0.0143,0.6605 ± 0.0536,0.1136 ± 0.0150
HC with fairness constraints and equal number of class 1 and class 0 lambda = 3.0,xgboost,0.6901 ± 0.0193,0.9602 ± 0.0000,0.8029 ± 0.0131,0.9598 ± 0.0018,0.9598 ± 0.0018,0.0471 ± 0.0125,0.7089 ± 0.0528,0.1004 ± 0.0130
HC with fairness constraints and equal number of class 1 and class 0 lambda = 3.0,mlp,0.6891 ± 0.0117,0.9602 ± 0.0000,0.8024 ± 0.0079,0.9598 ± 0.0011,0.9598 ± 0.0011,0.0462 ± 0.0046,0.7091 ± 0.0228,0.0995 ± 0.0049
HC with fairness constraints and equal number of protected attribute lambda = 3.0,logistic_regression,0.7429 ± 0.0078,0.9602 ± 0.0000,0.8377 ± 0.0050,0.9645 ± 0.0006,0.9645 ± 0.0006,0.0311 ± 0.0029,0.7737 ± 0.0165,0.0841 ± 0.0030
HC with fairness constraints and equal number of protected attribute lambda = 3.0,random_forest,0.6642 ± 0.0085,0.9602 ± 0.0000,0.7852 ± 0.0059,0.9573 ± 0.0009,0.9573 ± 0.0009,0.0600 ± 0.0143,0.6605 ± 0.0536,0.1136 ± 0.0150
HC with fairness constraints and equal number of protected attribute lambda = 3.0,xgboost,0.6901 ± 0.0193,0.9602 ± 0.0000,0.8029 ± 0.0131,0.9598 ± 0.0018,0.9598 ± 0.0018,0.0471 ± 0.0125,0.7089 ± 0.0528,0.1004 ± 0.0130
HC with fairness constraints and equal number of protected attribute lambda = 3.0,mlp,0.6670 ± 0.0203,0.9602 ± 0.0000,0.7870 ± 0.0141,0.9576 ± 0.0020,0.9576 ± 0.0020,0.0575 ± 0.0124,0.6690 ± 0.0527,0.1111 ± 0.0130
HC with fairness constraints and same size as original dataset lambda = 30.0,logistic_regression,0.8966 ± 0.0000,0.9602 ± 0.0000,0.9273 ± 0.0000,0.9749 ± 0.0000,0.9749 ± 0.0000,0.0432 ± 0.0000,0.5613 ± 0.0000,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 30.0,random_forest,0.9160 ± 0.0046,0.9290 ± 0.0080,0.9224 ± 0.0025,0.9605 ± 0.0038,0.9605 ± 0.0038,0.0531 ± 0.0016,0.4415 ± 0.0197,0.0613 ± 0.0364
HC with fairness constraints and same size as original dataset lambda = 30.0,xgboost,0.9275 ± 0.0041,0.9301 ± 0.0050,0.9288 ± 0.0039,0.9616 ± 0.0026,0.9616 ± 0.0026,0.0516 ± 0.0018,0.4507 ± 0.0175,0.0539 ± 0.0237
HC with fairness constraints and same size as original dataset lambda = 30.0,mlp,0.9172 ± 0.0042,0.9250 ± 0.0084,0.9211 ± 0.0047,0.9586 ± 0.0042,0.9586 ± 0.0042,0.0503 ± 0.0039,0.4664 ± 0.0354,0.0743 ± 0.0467
HC with fairness constraints and double the size of original dataset lambda = 30.0,logistic_regression,0.8980 ± 0.0012,0.9602 ± 0.0000,0.9281 ± 0.0006,0.9750 ± 0.0001,0.9750 ± 0.0001,0.0442 ± 0.0008,0.5517 ± 0.0079,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 30.0,random_forest,0.9117 ± 0.0056,0.9028 ± 0.0033,0.9072 ± 0.0026,0.9473 ± 0.0015,0.9473 ± 0.0015,0.0440 ± 0.0026,0.5202 ± 0.0286,0.0477 ± 0.0357
HC with fairness constraints and double the size of original dataset lambda = 30.0,xgboost,0.9234 ± 0.0043,0.9108 ± 0.0029,0.9171 ± 0.0025,0.9519 ± 0.0014,0.9519 ± 0.0014,0.0443 ± 0.0044,0.5152 ± 0.0466,0.0401 ± 0.0221
HC with fairness constraints and double the size of original dataset lambda = 30.0,mlp,0.9152 ± 0.0117,0.9097 ± 0.0154,0.9122 ± 0.0030,0.9509 ± 0.0071,0.9509 ± 0.0071,0.0444 ± 0.0032,0.5173 ± 0.0410,0.0662 ± 0.0343
HC with fairness constraints and equal number of class 1 and class 0 lambda = 30.0,logistic_regression,0.7607 ± 0.0075,0.9602 ± 0.0000,0.8488 ± 0.0047,0.9659 ± 0.0006,0.9659 ± 0.0006,0.0457 ± 0.0054,0.6898 ± 0.0245,0.0996 ± 0.0056
HC with fairness constraints and equal number of class 1 and class 0 lambda = 30.0,random_forest,0.5919 ± 0.0073,0.9801 ± 0.0000,0.7380 ± 0.0057,0.9583 ± 0.0010,0.9583 ± 0.0010,0.0499 ± 0.0111,0.7319 ± 0.0434,0.1041 ± 0.0116
HC with fairness constraints and equal number of class 1 and class 0 lambda = 30.0,xgboost,0.6250 ± 0.0120,0.9801 ± 0.0000,0.7632 ± 0.0088,0.9625 ± 0.0014,0.9625 ± 0.0014,0.0229 ± 0.0102,0.8550 ± 0.0588,0.0739 ± 0.0148
HC with fairness constraints and equal number of class 1 and class 0 lambda = 30.0,mlp,0.6029 ± 0.0243,0.9744 ± 0.0078,0.7445 ± 0.0174,0.9570 ± 0.0031,0.9570 ± 0.0031,0.0719 ± 0.0364,0.6588 ± 0.1216,0.1268 ± 0.0377
HC with fairness constraints and equal number of protected attribute lambda = 30.0,logistic_regression,0.7607 ± 0.0075,0.9602 ± 0.0000,0.8488 ± 0.0047,0.9659 ± 0.0006,0.9659 ± 0.0006,0.0457 ± 0.0054,0.6898 ± 0.0245,0.0996 ± 0.0056
HC with fairness constraints and equal number of protected attribute lambda = 30.0,random_forest,0.5919 ± 0.0073,0.9801 ± 0.0000,0.7380 ± 0.0057,0.9583 ± 0.0010,0.9583 ± 0.0010,0.0499 ± 0.0111,0.7319 ± 0.0434,0.1041 ± 0.0116
HC with fairness constraints and equal number of protected attribute lambda = 30.0,xgboost,0.6250 ± 0.0120,0.9801 ± 0.0000,0.7632 ± 0.0088,0.9625 ± 0.0014,0.9625 ± 0.0014,0.0229 ± 0.0102,0.8550 ± 0.0588,0.0739 ± 0.0148
HC with fairness constraints and equal number of protected attribute lambda = 30.0,mlp,0.6133 ± 0.0484,0.9778 ± 0.0121,0.7525 ± 0.0318,0.9595 ± 0.0029,0.9595 ± 0.0029,0.0585 ± 0.0095,0.6888 ± 0.0292,0.1132 ± 0.0099
HC with fairness constraints and same size as original dataset lambda = 4.0,logistic_regression,0.8980 ± 0.0012,0.9602 ± 0.0000,0.9281 ± 0.0006,0.9750 ± 0.0001,0.9750 ± 0.0001,0.0442 ± 0.0008,0.5517 ± 0.0079,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 4.0,random_forest,0.8997 ± 0.0101,0.9313 ± 0.0045,0.9152 ± 0.0054,0.9607 ± 0.0022,0.9607 ± 0.0022,0.0429 ± 0.0035,0.5498 ± 0.0374,0.0293 ± 0.0167
